disc,link,state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,Notes,UGrad Concentrations
,https://www.montgomerycollege.edu/academics/programs/applied-geography/index.html,MD,Montgomery College,Applied Geography,,,,,,x,,,,,,,,,,applied associates,
,https://geography.columbian.gwu.edu/,MD,George Washington University,,Department of Geography,Columbian College of Arts and Sciences,x,x,,,,x,x,,,,,,,,
Environmental Studies GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Political Ecology Quantitative Methods Recreation and Tourism Urban Geography,https://www.westfield.ma.edu/academics/degrees/geography-regional-planning-degree-part-time,MA,Westfield State University,,"Department of Geography, Planning, and Sustainability","College of Arts, Humanities, and Social Sciences",x,,,,x,,,,,,x,,,BS Geography & Regional Planning (Part-time),
Climatology/Meteorology Environmental Studies Geographic Education GIS Political Ecology,http://www.geo.umass.edu/,MA,University of Massachusetts Amherst,,Department of Geosciences,College of Natural Sciences,,,,,x,x,x,,,,,,,,
Climatology/Meteorology Cultural Geography Environmental Studies Geographic Education Geomorphology GIS Remote Sensing Urban Geography,https://www.worcester.edu/Earth-Environment-and-Physics/,MA,Worcester State University,,"Department of Earth, Environment and Physics","School of Education, Health, and Natural Sciences",,,,,x,,,,,,,,,,
"Agricultural Geography Applied Geography Biogeography Conservation, Land Use, Resource Management Cultural Ecology Economic Development Economic Geography Energy Environmental Studies Gender Geographic Thought GIS Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Regional Development Remote Sensing Urban Geography Water Resources",https://www.clarku.edu/departments/geography/,MA,Clark University,,Graduate School of Geography,School of Arts and Sciences ,x,x,,,,x,,,x,,,,,,
"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Energy Environmental Studies GIS GIS Certification Program Physical Geography/General Planning (Regional/Urban) Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Transportation and Communication Urban Geography",https://www.salemstate.edu/academics/college-arts-and-sciences/geography-and-sustainability,MA,Salem State University,,Department of Geography and Sustainability,College of Arts and Sciences,x,,,,x,x,,,,,x,,,BA and BS Geography and Sustainability,
,https://www.bridgew.edu/department/geography,MA,Bridgewater State University,,Department of Geography,Bartlett College of Science and Mathematics,x,x,,,x,x,,,,,,,,,
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Environmental Studies Gender Geographic Education Geographic Thought Geomorphology GIS Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Transportation and Communication Urban Geography Water Resources",https://www.cmich.edu/colleges/se/Geography/Undergraduate/Pages/default.aspx,MI,Central Michigan University,,Department of Geography and Environmental Studies,College of Science and Engineering,x,,,,x,x,,,,,,,,,
"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Economic Geography Environmental Studies Gender Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.svsu.edu/geography/,MI,Saginaw Valley State University,,Department of Geography,College of Arts and Behavioral Sciences,x,x,,,,x,,,,,,,,,
